Ladekurvenmessung
Zeit: 2018_05_04 09.03.03
Info: FVA3, v = 0.749, T = 23, F = 20, h = 374.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3
202	-0.000512	-0.001498	-0.002813
203	-1.9e-05	-0.001662	-0.005114
204	-0.002813	-0.003799	-0.005936
205	-0.004621	-0.003963	-0.005114
206	-1.9e-05	-0.003799	-0.003799
207	-0.004456	-0.004456	-0.003963
208	0.000639	-0.002648	-0.006922
209	0.000639	-0.000512	-0.001334
210	-0.002484	-0.004949	0.000639
211	-0.003142	0.001789	-0.003306
212	-0.004128	-0.002484	-0.001005
213	-0.001334	-0.000676	0.00031
214	-0.001498	-0.001334	-0.000347
215	-0.003306	0.001625	-0.001827
216	0.000474	-0.002484	0.000803
217	0.00146	-0.00232	-0.003799
218	-0.001498	-0.002648	-0.001169
219	-0.001498	-0.00347	-0.011524
220	-0.003142	-0.003306	-0.004785
221	-0.003142	-0.004292	-0.000676
222	0.00031	-0.003635	-0.002155
223	-0.001005	-0.003635	-0.001169
224	-0.001827	0.001296	-0.002155
225	0.000146	-0.004292	-0.000183
226	-0.002155	-0.001005	-0.002813
227	-0.000512	-0.001991	-0.000676
228	-0.000512	-0.002648	-0.000183
229	0.00031	-0.003306	0.000146
230	-0.001991	-0.001991	-0.007744
231	-0.001662	-0.003306	-0.001005
232	-0.000841	-0.003306	-0.000347
233	-0.000676	-0.002648	-0.003306
234	0.002447	-0.002484	0.000639
235	0.001954	-0.004292	-0.000512
236	0.003268	-0.003306	0.000639
237	-0.001827	-0.005278	-0.004456
238	-0.001005	-0.006264	0.000639
239	0.000639	-0.004456	-0.002484
240	-0.000512	-0.005278	-0.002813
241	-0.005278	-0.005771	-0.003306
242	-0.002648	-0.005278	-0.002155
243	-0.004785	-0.003142	-0.002484
244	-0.002155	-0.007908	-0.001991
245	-0.003799	0.000639	0.000639
246	-0.000347	-0.005114	-0.004128
247	-0.001169	-0.001498	0.00146
248	-0.001334	-0.004292	0.000474
249	-0.001334	-0.00347	-0.000347
250	0.000639	-0.001991	-0.002484
251	-0.000183	-0.003306	-0.001169
252	-0.002155	-0.002977	0.002611
253	-0.003142	-0.001334	-0.00232
254	-0.002648	-0.004456	-0.004621
255	-0.001991	-0.006264	-0.003142
256	-0.002484	-0.005607	-0.00347
257	-0.000676	-0.005114	-0.00347
258	-0.001662	-0.001991	-0.00347
259	-0.000512	-0.006264	-0.001334
260	-0.003635	-0.006429	0.000474
261	-0.001334	-0.003306	-0.000183
262	-0.002813	-0.001991	-0.000676
263	-0.00232	-0.004128	0.005569
264	0.00031	-0.001169	-0.003142
265	-0.001991	-0.004785	-0.002977
266	-0.001334	-0.002813	0.000803
267	-0.000676	-0.000841	-0.006264
268	-0.000347	-0.003142	-0.001498
269	0.000967	-0.002813	-0.004621
270	0.00146	-0.000676	-0.000512
271	-0.000512	-0.004621	-0.002813
272	-0.001334	-0.002648	0.000474
273	-0.003306	-0.002484	-0.003142
274	-0.000676	-0.002813	0.00146
275	-0.003963	-0.004621	-0.002977
276	0.000474	-0.002484	-0.001498
277	-0.000841	-0.002155	-0.001662
278	-0.002155	-0.00232	-0.000841
279	0.000639	-0.000512	-0.000183
280	-0.000512	-0.000512	-0.001169
281	0.000803	-0.000183	-0.000676
282	-0.000183	-0.001827	-0.001334
283	-0.000512	-0.000841	0.000146
284	0.003597	0.000803	-0.00347
285	0.000474	-0.002813	-0.001498
286	-0.000183	0.000803	-0.003635
287	0.000146	-0.003635	-0.003142
288	-0.000183	-0.001498	-0.002484
289	0.00031	-0.002155	-0.001334
290	0.000639	-0.002155	-0.002813
