Ladekurvenmessung
Zeit: 2018_05_03 11.57.03
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
116	0.004419	-0.007086	-0.000676	-0.006593	-0.002977	-0.000676	-0.000183	-0.003799	-0.000676	-0.001334	-0.013003	-0.000347	0.000803	-0.005771	-0.010045	0.000967
117	0.000803	-0.00873	-0.001005	-0.003963	-0.002484	-0.005607	0.000967	-0.002484	-0.007744	-0.001498	-0.012181	-0.002648	0.003268	-0.001005	-0.008072	0.003597
118	0.000146	-0.008565	0.000474	-0.003799	-0.000676	-0.001334	-0.000183	-0.005771	-0.002813	-0.001334	-0.007086	-0.004949	0.003104	-0.004621	-0.007415	0.000967
119	0.000146	-0.010538	-0.001334	-0.002484	-0.001827	-0.0061	-1.9e-05	-0.002977	-0.002813	-0.000512	-0.009551	-0.001827	0.002611	-0.00347	-0.010702	0.003268
120	-0.000347	-0.008237	-0.001005	-0.003799	-0.000512	-0.004785	-0.004456	-0.006757	-0.003635	0.000474	-0.008401	-0.00232	0.002775	-0.003306	-0.00988	0.00146
121	-0.003799	-0.007744	-0.001662	-1.9e-05	-0.001827	-0.00232	0.000146	-0.008072	-0.005114	0.000639	-0.008565	-0.001498	0.002447	-0.004785	-0.00873	0.002282
122	-0.001334	-0.004128	-0.001662	-0.00232	0.000146	-0.004292	-0.00347	-0.004785	-0.004621	0.003268	-0.007415	-0.004456	0.004255	-0.003799	-0.012181	-0.000512
123	-0.002813	-0.009716	-0.002484	-0.001498	-0.002648	-0.00232	-0.002648	-0.005443	-0.004456	-0.004292	-0.007908	-0.001991	-0.0061	-0.005278	-0.00873	0.001625
124	-0.003963	-0.006593	-0.001005	-0.008894	-0.000347	-0.002155	-0.003799	-0.004621	-0.002484	-0.00347	-0.005771	-0.001662	0.001132	-0.002813	-0.005278	0.003268
125	-0.003799	-0.0061	-0.001991	-0.002155	0.001789	-0.001827	0.001132	-0.004621	-0.002484	0.002118	-0.009223	-0.002977	0.002775	-0.003963	-0.005771	0.000474
126	0.00031	-0.006922	0.001625	-0.002484	-0.000512	-0.001827	-0.000347	-0.004456	0.002118	-0.002813	-0.004949	-0.00347	0.00146	-0.005443	-0.008565	0.000474
127	0.002447	-0.003963	-0.004456	-0.004949	0.000146	-0.002484	-0.001991	-0.003142	0.007377	0.000639	-0.008072	-0.001169	0.005241	-0.009223	-0.012346	-1.9e-05
128	-0.002977	-0.007086	-0.001827	-0.003306	-0.003142	-0.004292	-0.002977	-0.003306	-0.001498	-0.003799	-0.007415	-0.0061	0.004255	-0.003306	-0.011688	-0.000841
129	0.00031	-0.005771	-0.004292	-0.003635	-0.002977	-0.003963	-0.002155	-0.004785	-0.000512	-1.9e-05	-0.004785	-0.00232	0.004419	-0.005443	-0.007086	0.001954
130	-0.001498	-0.004785	-0.00232	-0.001498	-0.004456	-0.003306	-0.003142	-0.005278	-0.001827	-0.002648	-0.00347	-0.003306	0.005076	-0.004621	-0.013989	0.000967
131	-0.001005	-0.004292	-0.000512	-0.005443	-0.003635	-0.004128	-0.004785	-0.003799	0.002611	-1.9e-05	-0.00725	0.000146	0.004419	-0.005114	-0.01366	0.000146
132	-0.001662	-0.007415	-0.001169	0.00031	-0.005114	-0.003635	0.001132	-0.003142	-0.002484	-0.00232	-0.004128	-0.000676	0.00935	-0.005278	-0.013496	0.001789
