Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
77	-0.001498	-0.000841	0.003597	0.003433	0.001954	0.008692	-0.00347	-0.002155	0.007377	-0.001169	-0.012674	-0.003799	0.021841	0.023649	-0.025658	0.00146	-0.007086	0.00409
78	-0.002648	-0.002648	0.007542	0.005241	0.001296	0.00935	-0.002977	-0.007086	0.009021	0.000474	-0.011688	-0.001827	0.017239	0.019868	-0.025165	0.000146	-0.009551	0.007049
79	-0.004456	-1.9e-05	0.003104	0.005898	0.002447	0.009843	-0.003635	-0.004128	0.007377	0.000639	-0.012017	-0.002484	0.017567	0.020362	-0.027302	0.003761	-0.006922	0.007377
80	0.00031	-0.000676	0.002447	0.006556	0.005076	0.00935	-0.004128	-0.006429	0.003926	0.003597	-0.010373	-0.003799	0.017403	0.018225	-0.028288	-0.000183	-0.010538	0.00672
81	0.000803	0.000639	0.005076	0.005734	0.004419	0.008528	-0.002977	-0.003635	0.007542	-0.004128	-0.016619	-0.001334	0.012801	0.016417	-0.031082	0.006062	-0.009551	0.008035
82	0.001789	0.006227	0.002611	0.009843	0.003104	0.007706	-0.000347	-0.007744	0.006556	0.000639	-0.010373	-0.002977	0.0105	0.01954	-0.028617	-0.000841	-0.011195	0.006227
83	0.001296	0.000639	0.002775	0.005734	0.002775	0.009843	-0.001169	-0.001827	0.00787	-0.00232	-0.015633	-0.002648	0.00935	0.01954	-0.026152	0.003104	-0.013003	0.010007
84	0.004419	0.002775	0.002775	0.005898	0.005241	0.007706	0.000146	-0.003635	0.006062	-0.000512	-0.008894	0.00146	0.008692	0.018882	-0.031904	-0.000841	-0.012017	0.008692
85	-0.000183	0.003597	0.003104	0.000803	0.003597	0.007706	-0.00347	-0.000347	0.006556	-0.001334	-0.01251	-0.003799	0.009843	0.020855	-0.030096	0.000967	-0.014482	0.006556
86	0.005898	0.004912	0.003433	0.006391	0.004419	0.008035	-0.000676	-0.000512	0.00409	-0.003635	-0.012674	-0.005278	0.005405	0.020197	-0.033548	0.000803	-0.012017	0.003761
87	0.001625	0.003926	0.001625	0.005241	0.006391	0.00935	0.001954	-0.005771	0.006556	-0.000183	-0.009716	-0.005936	0.005734	0.019211	-0.033876	0.003761	-0.013496	0.004255
