x-axis,y_1,y_2
Hz,Cp,D 
50252.500000,8.860742E-12,6.701149E-02
50500.000000,8.931795E-12,6.970188E-02
50747.500000,8.910343E-12,6.193884E-02
50995.000000,8.920792E-12,6.189920E-02
51242.500000,8.919604E-12,7.256071E-02
51490.000000,8.946587E-12,6.466350E-02
51737.500000,8.866863E-12,6.562994E-02
51985.000000,8.943314E-12,6.586784E-02
52232.500000,8.911816E-12,6.381755E-02
52480.000000,8.859870E-12,6.711604E-02
52727.500000,8.933502E-12,6.401382E-02
52975.000000,8.868825E-12,7.335319E-02
53222.500000,8.880886E-12,6.132916E-02
53470.000000,8.932037E-12,6.381172E-02
53717.500000,8.938219E-12,6.272264E-02
53965.000000,8.899616E-12,6.329536E-02
54212.500000,8.929142E-12,6.589825E-02
54460.000000,8.888714E-12,6.555172E-02
54707.500000,8.814294E-12,6.499975E-02
54955.000000,8.896604E-12,5.938694E-02
55202.500000,8.915676E-12,6.624289E-02
55450.000000,8.861826E-12,6.370806E-02
55697.500000,8.932283E-12,6.319006E-02
55945.000000,8.890547E-12,6.856954E-02
56192.500000,8.861079E-12,6.149659E-02
56440.000000,8.886844E-12,6.282248E-02
56687.500000,8.871590E-12,6.204414E-02
56935.000000,8.839251E-12,6.692744E-02
57182.500000,8.869112E-12,6.749877E-02
57430.000000,8.880534E-12,5.912768E-02
57677.500000,8.825580E-12,6.500667E-02
57925.000000,8.868952E-12,6.644461E-02
58172.500000,8.800708E-12,6.845765E-02
58420.000000,8.925125E-12,6.271980E-02
58667.500000,8.909930E-12,7.376575E-02
58915.000000,8.887650E-12,6.171671E-02
59162.500000,8.858448E-12,6.495926E-02
59410.000000,8.818003E-12,6.697065E-02
59657.500000,8.889859E-12,6.208884E-02
59905.000000,8.932295E-12,5.982948E-02
60152.500000,8.864413E-12,6.609493E-02
60400.000000,8.857100E-12,6.423840E-02
60647.500000,8.925283E-12,6.026703E-02
60895.000000,8.871894E-12,6.549515E-02
61142.500000,8.897761E-12,6.319527E-02
61390.000000,8.841552E-12,6.398215E-02
61637.500000,8.886256E-12,6.459805E-02
61885.000000,8.825782E-12,6.616787E-02
62132.500000,8.894373E-12,6.514700E-02
62380.000000,8.852815E-12,6.380817E-02
62627.500000,8.830220E-12,6.491832E-02
62875.000000,8.758123E-12,6.884654E-02
63122.500000,8.762673E-12,6.120263E-02
63370.000000,8.815978E-12,6.948307E-02
63617.500000,8.864703E-12,6.494302E-02
63865.000000,8.864589E-12,6.574228E-02
64112.500000,8.805543E-12,6.372967E-02
64360.000000,8.814846E-12,6.169854E-02
64607.500000,8.804446E-12,6.751166E-02
64855.000000,8.825354E-12,6.461331E-02
