Ladekurvenmessung
Zeit: 2018_05_03 11.58.28
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
87	0.000474	0.00146	0.011322	-0.001827	-0.001498	-0.00232	-0.01629	0.008199	-0.020563	0.000146	0.002611	0.002447	0.041399	-0.009716	0.000639
88	-0.002813	0.000803	0.013294	-0.004128	-0.001005	-0.001005	-0.016454	0.004583	-0.022043	0.000146	-0.00232	0.001296	0.037783	-0.01514	0.006391
89	-0.002648	0.000803	0.008528	-0.003306	0.001132	-0.002648	-0.012181	0.008528	-0.019906	0.001132	-0.000183	0.001789	0.04107	-0.009551	0.002282
90	-0.001334	0.003104	0.01576	-0.001169	-0.00232	-0.001662	-0.011359	0.007542	-0.019742	0.001954	-0.002648	0.000803	0.042057	-0.005443	0.002282
91	-0.00232	0.001296	0.0105	-0.000183	-0.001005	-1.9e-05	-0.009387	0.006391	-0.01892	-0.004949	-0.001498	0.003104	0.04255	-0.008072	0.000474
92	-0.003963	-0.002155	0.01428	-0.003799	-0.002155	-0.001827	-0.003963	0.00672	-0.023357	-0.002484	-0.004128	0.001789	0.042385	-0.008565	0.001625
93	-0.002813	0.001132	0.011322	0.001954	0.000146	-0.000676	-0.002977	0.006227	-0.022864	-0.001334	-0.000347	0.002447	0.04255	-0.004456	-0.001498
94	-0.003963	0.00146	0.012472	0.002118	-0.002648	-0.004785	-0.006593	0.002775	-0.021878	0.000803	-0.004456	0.002447	0.049453	-0.008237	0.000639
95	-1.9e-05	0.001789	0.011486	0.000803	0.000146	-0.003963	0.00031	0.00672	-0.022043	0.002282	-0.001498	0.003433	0.051589	-0.001991	-0.001169
96	-0.004785	0.000146	0.011322	0.003268	-0.001827	-0.002155	0.007049	0.003761	-0.025823	0.002611	-0.001827	0.00146	0.047152	-0.00347	-0.001662
97	-0.00232	0.004255	0.013952	-0.001991	0.000474	-0.000676	0.002447	0.004255	-0.020235	0.00146	-0.003142	0.000967	0.046494	-0.000512	0.00031
98	-0.002977	0.003433	0.009678	0.000639	-0.001334	-0.003799	0.008528	0.002611	-0.022864	-0.000183	-0.002155	0.003761	0.047809	0.002775	0.000639
99	-0.000183	0.001625	0.009843	-0.001334	-0.000183	-0.002484	0.010007	0.001789	-0.02533	0.00294	-0.000512	0.001954	0.041399	0.001132	-0.001498
100	-0.004621	-0.001334	0.010336	0.000146	0.000803	-0.001827	0.011979	0.002282	-0.021056	0.003761	-0.000512	0.003926	0.042057	0.000803	0.000803
101	-0.001334	-0.000512	0.009678	-0.001334	-0.001005	-0.000183	0.013952	0.00294	-0.022371	0.004748	0.001954	0.006884	0.038112	0.005076	-1.9e-05
102	-0.002155	0.000146	0.013623	-1.9e-05	-0.001005	-0.003963	0.01576	0.002118	-0.025823	0.001789	-0.001169	0.006227	0.038276	0.004583	0.001625
103	-0.00347	0.000803	0.013294	-0.000183	0.00031	0.000967	0.019211	0.005734	-0.025165	0.00409	-0.000841	0.002611	0.034661	0.003268	0.001789
104	-0.001991	-0.000183	0.013787	-0.000676	-0.000347	-0.003963	0.021019	0.002611	-0.026645	0.002611	0.002447	0.00672	0.030059	0.007377	0.001296
105	-0.002813	0.002447	0.012308	-0.001169	-0.000347	-0.001334	0.01954	0.002447	-0.021878	0.000967	-0.001498	0.004255	0.028744	0.00672	0.001789
106	-0.00232	0.000803	0.0105	0.000967	0.001132	0.001132	0.023649	0.003104	-0.020563	0.002775	0.001296	0.002282	0.026278	0.009678	-0.000347
107	-0.001991	-0.000676	0.010993	-0.003306	-0.003799	0.001625	0.026936	0.003926	-0.016619	0.002775	-0.002648	0.002447	0.022827	0.010336	-1.9e-05
108	-0.000183	0.001789	0.009021	-0.001662	0.006391	0.00146	0.027429	-0.000841	-0.017934	0.000967	0.000146	0.001296	0.019047	0.012144	-0.000512
109	-0.007908	-0.000512	0.010829	0.000967	-0.004949	0.000639	0.027429	-0.001005	-0.01892	0.00031	-0.001827	0.003433	0.017074	0.011158	0.001132
110	-0.001169	-0.000676	0.009514	-1.9e-05	-0.001662	0.003104	0.030387	-0.003306	-0.018591	-0.000676	0.000803	0.003433	0.014773	0.015266	0.001625
111	-0.002813	-0.003799	0.011979	0.001296	-0.004292	0.000474	0.032688	-0.001169	-0.018591	0.002775	-0.000512	0.004748	0.016088	0.010829	0.002447
112	-0.002155	-0.000676	0.011651	-0.001169	-0.001169	-0.000347	0.033346	0.00146	-0.019084	-1.9e-05	-0.000183	0.004419	0.013623	0.014116	-0.001991
113	-0.00232	-0.004949	0.013952	-0.000183	-0.000512	-1.9e-05	0.038112	-0.00347	-0.020235	-0.000347	-0.001991	0.003104	0.010829	0.016581	-0.001827
114	-0.000512	-0.002155	0.012144	-0.001498	0.000639	-0.000841	0.034989	-0.003142	-0.019742	0.00294	0.000146	0.002282	0.007377	0.015595	-0.003142
115	-0.001827	-0.002813	0.015924	0.000146	-0.001991	-0.001005	0.034989	-0.002484	-0.019249	0.00146	-0.001334	0.006227	0.007377	0.017567	0.002775
116	-0.000347	-0.000676	0.012472	-0.000183	0.002775	0.000639	0.035811	-0.00232	-0.01629	0.000967	0.002282	0.003104	0.00409	0.015595	-0.001662
117	0.001954	-0.004949	0.016417	-0.001827	-1.9e-05	0.001954	0.035154	-0.001662	-0.017276	-0.001005	-0.00725	0.00146	0.002611	0.018554	0.000639
118	-0.00232	-0.003799	0.009678	-0.000676	0.000146	-0.000183	0.034003	-0.002155	-0.01892	0.000967	-0.004128	0.00146	-0.002813	0.019047	0.00146
119	-0.000841	-0.006429	0.014609	0.001296	-0.010045	-1.9e-05	0.036797	-0.003799	-0.016783	-0.000512	0.001132	0.003597	-0.004128	0.023649	0.002118
120	-1.9e-05	-0.013167	0.012801	-0.00347	-0.001005	-1.9e-05	0.03351	0.004583	-0.015797	0.001296	-0.00347	0.002611	-0.005278	0.01954	0.003926
121	-0.002813	-0.004621	0.011651	-0.005443	-0.002155	-0.001827	0.041728	-0.005114	-0.014647	0.001954	0.000146	0.002118	-0.009223	0.026607	-0.001498
122	-0.005771	-0.00347	0.01428	-0.000512	-0.001662	0.000474	0.037619	-0.010866	-0.014975	0.00409	-0.002155	0.001954	-0.010866	0.0271	0.002611
123	-0.001498	-0.007744	0.012801	-0.000347	0.000146	-0.001334	0.041399	-0.003963	-0.013003	-0.003142	-0.002813	0.007542	-0.01251	0.027758	0.000146
124	0.000639	-0.006593	0.01576	-0.001662	-0.002813	-0.002977	0.043371	-0.010209	-0.014811	-0.000676	-0.002813	0.003597	-0.014811	0.026278	-0.000183
125	-0.000183	-0.005936	0.016253	0.00146	-0.001005	-0.00347	0.042057	-0.009223	-0.01366	0.003104	0.000803	0.003104	-0.013496	0.027758	-0.001005
