Ladekurvenmessung

Zeit: 2018_05_02 15.03.35

Info: FVA3, v = 0.0215, T = 40, F = 20, h = 45.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
1602	0.14052
1603	0.142
1604	0.13371
1605	0.136835
1606	0.140783
1607	0.141079
1608	0.14029
1609	0.140355
1610	0.142691
1611	0.143711
1612	0.146771
1613	0.142066
1614	0.147593
1615	0.14381
1616	0.147494
1617	0.147955
1618	0.147429
1619	0.14812
1620	0.146705
1621	0.14302
1622	0.14427
1623	0.145784
1624	0.142362
1625	0.144172
1626	0.142889
1627	0.146442
1628	0.145224
1629	0.145126
1630	0.146606
1631	0.149041
1632	0.148152
1633	0.148942
1634	0.149633
1635	0.147692
1636	0.145882
1637	0.146705
1638	0.149666
1639	0.142724
1640	0.14483
1641	0.147198
1642	0.149106
1643	0.149995
1644	0.151311
1645	0.149172
1646	0.148054
1647	0.149403
1648	0.14937
1649	0.148876
1650	0.148777
1651	0.144468
1652	0.147626
1653	0.148185
1654	0.146343
1655	0.144172
1656	0.147396
1657	0.147823
1658	0.146968
1659	0.150455
1660	0.146409
1661	0.150982
1662	0.15039
1663	0.153449
1664	0.15187
1665	0.152824
1666	0.148185
1667	0.153877
1668	0.152429
1669	0.150521
1670	0.150751
1671	0.149732
1672	0.150028
1673	0.151113
1674	0.152199
1675	0.148152
1676	0.151969
1677	0.149074
1678	0.148284
1679	0.148383
1680	0.150653
1681	0.148712
1682	0.152002
1683	0.150817
1684	0.149633
1685	0.151245
1686	0.150159
1687	0.15266
1688	0.148843
1689	0.148481
1690	0.145553
1691	0.1471
1692	0.14835
1693	0.150258
1694	0.147856
1695	0.144863
1696	0.153877
1697	0.154732
1698	0.152002
1699	0.153416
1700	0.154502
1701	0.153844
1702	0.155127
1703	0.15085
1704	0.153416
1705	0.1521
1706	0.153153
1707	0.153054
1708	0.158548
1709	0.153482
1710	0.15562
1711	0.161871
1712	0.154666
1713	0.157496
1714	0.161147
1715	0.156739
1716	0.157035
1717	0.155884
1718	0.1572
1719	0.159305
1720	0.158055
1721	0.158746
1722	0.148876
1723	0.159601
1724	0.159963
1725	0.160358
1726	0.160095
1727	0.162694
1728	0.158581
1729	0.1622
1730	0.161049
1731	0.162496
1732	0.162431
1733	0.160753
1734	0.158187
1735	0.159075
1736	0.159864
1737	0.160753
1738	0.158976
1739	0.156015
1740	0.161246
1741	0.159667
1742	0.162562
1743	0.158417
1744	0.162167
1745	0.159371
1746	0.164635
1747	0.161838
1748	0.159206
1749	0.161805
1750	0.161904
1751	0.163418
1752	0.161575
1753	0.163812
1754	0.16401
1755	0.163845
1756	0.16322
1757	0.160522
1758	0.160786
