Ladekurvenmessung
Zeit: 2018_05_02 15.06.03
Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1
1248	-2.5e-05
1249	-9e-05
1250	8e-06
1251	-0.000222
1252	7.4e-05
1253	0.000107
1254	4.1e-05
1255	0.00014
1256	0.000206
1257	7.4e-05
1258	4.1e-05
1259	8e-06
1260	-0.000123
1261	-5.8e-05
1262	7.4e-05
1263	4.1e-05
1264	7.4e-05
1265	7.4e-05
1266	0.000107
1267	0.000107
1268	0.000173
1269	-2.5e-05
1270	-2.5e-05
1271	-9e-05
1272	-5.8e-05
1273	-0.000321
1274	8e-06
1275	7.4e-05
1276	4.1e-05
1277	7.4e-05
1278	7.4e-05
1279	0.00014
1280	-2.5e-05
1281	8e-06
1282	-2.5e-05
1283	8e-06
1284	-0.000156
1285	4.1e-05
1286	4.1e-05
1287	0.000107
1288	7.4e-05
1289	0.000173
1290	0.000173
1291	8e-06
1292	8e-06
1293	-2.5e-05
1294	-2.5e-05
1295	-0.000123
1296	-0.000255
1297	-2.5e-05
1298	0.00014
1299	0.000304
1300	0.000206
1301	-5.8e-05
1302	0.000239
1303	-5.8e-05
1304	0.000206
1305	0.000206
1306	-5.8e-05
1307	0.000469
1308	-0.000123
1309	0.00014
1310	0.00014
1311	-2.5e-05
1312	0.00014
1313	0.000304
1314	-9e-05
1315	-5.8e-05
1316	-2.5e-05
1317	8e-06
1318	-0.000123
1319	0.000173
1320	0.000107
1321	0.000206
1322	0.000206
1323	0.00014
1324	0.000271
1325	-9e-05
1326	-2.5e-05
1327	7.4e-05
1328	8e-06
1329	0.000206
1330	0.000206
1331	7.4e-05
1332	0.000239
1333	4.1e-05
1334	0.000173
1335	0.000403
1336	0.000107
1337	7.4e-05
1338	0.000271
1339	8e-06
1340	0.000107
1341	0.000502
1342	0.000173
1343	0.000239
1344	0.000239
1345	0.000107
1346	0.000173
1347	0.000304
1348	-5.8e-05
1349	0.000304
1350	-0.000387
1351	-0.000321
1352	0.000173
1353	0.000107
1354	0.001423
1355	0.000304
1356	-0.000255
1357	0.000337
1358	0.000469
1359	-0.000189
1360	8e-06
1361	4.1e-05
1362	7.4e-05
1363	7.4e-05
1364	8e-06
1365	8e-06
1366	0.000173
1367	-0.000288
1368	7.4e-05
1369	0.000173
1370	-5.8e-05
1371	-2.5e-05
1372	-0.000123
1373	-9e-05
1374	4.1e-05
1375	0.000337
1376	-0.000321
1377	0.0006
1378	0.000897
1379	0.000271
1380	0.000502
1381	-0.00065
1382	-9e-05
1383	4.1e-05
1384	0.000107
1385	4.1e-05
1386	0.000535
1387	0.000173
1388	0.000304
1389	0.000206
1390	0.00014
1391	-2.5e-05
1392	0.000173
1393	0.000271
1394	0.00014
1395	0.000502
1396	0.000271
1397	4.1e-05
1398	0.000107
1399	8e-06
1400	-2.5e-05
1401	4.1e-05
1402	-2.5e-05
1403	-2.5e-05
1404	-9e-05
1405	7.4e-05
1406	-0.000123
1407	0.000436
1408	8e-06
1409	0.00014
1410	0.00014
1411	0.000206
1412	0.000107
1413	0.000107
1414	0.000403
1415	-5.8e-05
1416	8e-06
1417	0.000271
1418	-5.8e-05
1419	0.00014
1420	0.00014
1421	0.000107
1422	0.000239
1423	0.00014
1424	8e-06
1425	4.1e-05
1426	-5.8e-05
1427	-9e-05
1428	-0.000123
1429	0.000107
1430	7.4e-05
1431	7.4e-05
1432	7.4e-05
1433	0.00037
1434	0.000107
1435	8e-06
1436	-5.8e-05
1437	0.000568
1438	-0.000255
1439	0.003331
1440	-0.000617
1441	0.000206
1442	0.000239
1443	0.000403
1444	4.1e-05
1445	0.001258
1446	0.000271
1447	7.4e-05
1448	-9e-05
1449	-0.000255
1450	-0.002097
1451	-0.000255
1452	0.00037
1453	-9e-05
1454	0.000929
1455	4.1e-05
1456	0.003627
1457	0.001916
1458	0.000535
1459	0.000568
1460	0.000699
1461	0.00162
1462	0.000568
1463	0.001916
1464	0.003035
1465	0.003167
1466	0.00162
1467	0.003923
1468	0.008332
1469	0.00593
1470	0.002772
1471	0.001423
1472	0.002081
1473	0.003989
1474	0.007674
1475	0.003199
1476	0.002706
1477	0.000337
1478	-0.000321
1479	0.004976
1480	0.002015
1481	0.001357
1482	-0.000321
1483	-0.00213
1484	0.00014
1485	-0.000123
1486	0.002574
1487	0.001883
1488	0.000107
1489	-2.5e-05
1490	7.4e-05
1491	-9e-05
1492	7.4e-05
1493	-9e-05
1494	0.000173
1495	-0.000189
1496	0.000173
1497	0.000173
1498	0.00014
1499	7.4e-05
1500	0.000173
1501	4.1e-05
1502	-2.5e-05
1503	-2.5e-05
1504	-0.000123
1505	-9e-05
1506	-2.5e-05
1507	0.000107
1508	4.1e-05
1509	0.000107
1510	0.00014
1511	0.00014
1512	0.000107
1513	4.1e-05
1514	-5.8e-05
1515	-2.5e-05
1516	8e-06
1517	0.000107
1518	0.000206
1519	0.000173
1520	0.000765
1521	0.000107
1522	0.000699
1523	-2.5e-05
1524	8e-06
1525	-9e-05
1526	-5.8e-05
